setId,setName,setTotal,releaseOrder,description
29TH-5GEN,絶望の一秒前,5,220401,
29TH-UNDER,届かなくたって…,3,220501,
10BD-TW,10th Birthday Live(白),3,220502,
10BD-TP,10th Birthday Live(紫),3,220503,
29TH,Actually…,3,220504,
22-MAY-II,2022.May-II,3,220505,フェイクファー
22-MAY-III,2022.May-III,3,220506,フロントボタントップス
22-MAY-IV,2022.May-IV,3,220507,チョーカーデザイン
22-JUN-I,2022.June,3,220601,夏パジャマ
22-JUN-II,2022.June-II,3,220602,ノースリーブニット
22-JUN-III,2022.June-III,3,220603,麦わら帽子
5GEN,5期生お見立て会,3,220604,
22-JUN-IV,2022.June-IV,8,220605,10thBDライブ衣装
22-JUL-I,2022.July,3,220701,真夏の全国ツアー2022 Tシャツ 共通ver.
22-OSAKA,真夏の全国ツアー2022 大阪ver.,3,220702,
22-JUL-II,2022.July-II,5,220703,浴衣
22-JUL-III,2022.July-III,3,220704,刺繍
22-HIROSHIMA,真夏の全国ツアー2022 広島ver.,3,220705,
22-JUL-IV,2022.July-IV,3,220706,アウトドア
22-FUKUOKA,真夏の全国ツアー2022 福岡ver.,3,220707,
22-JUL-V,2022.July-V,3,220708,メッシュニット
22-HOKKAIDO,真夏の全国ツアー2022 北海道ver.,3,220801,
22-MIYAGI,真夏の全国ツアー2022 宮城ver.,3,220802,
22-AUG-I,2022.August,3,220803,サマーベスト
22-AICHI,真夏の全国ツアー2022 愛知ver.,3,220804,
22-AUG-II,2022.August-II,3,220805,ビビットトップス
22-AUG-III,2022.August-III,3,220806,アシメフリル
22-TOKYO,真夏の全国ツアー2022 東京ver.,3,220807,
22-SPECIAL,真夏の全国ツアー2022 Special,3,220808,
22-AUG-IV,2022.August-IV,3,220809,ストライプ
22-SEP-I,2022.September,3,220901,マリンルック
22-SEP-II,2022.September-II,3,220902,オフィスカジュアル
30TH-5GEN,バンドエイドを剝がすような別れ方,5,220903,
30TH,好きというのはロックだぜ,3,221001,
22-HALLO,2022.Halloween,5,221002,
22-OCT-I,2022.October,3,221003,ウィンドウペンチェック
22-OCT-II,2022.October-II,3,221004,ポップ
GRAD-HIGUCHI,樋口日奈卒業セレモニー,3,221005,
30TH-UNDER,Under's Love…,3,221101,
22-NOV-I,2022.November,8,221102,真夏の全国ツアー2022衣装
22-DEC-I,2022.December,3,221201,スペシャル衣装35
22-DEC-II,2022.December-II,3,221202,ゴルフウェア
22-DEC-III,2022.December-III,3,221203,ハーフジップ
22-XMAS,2022.Christmas,5,221204,
22-DEC-IV,2022.December-IV,3,221205,ジャガード
22-DEC-V,2022.December-V,3,221206,ケーブルニット
23-LUCKY-I,2023.Lucky Bag(パ),3,230101,パステル
23-LUCKY-II,2023.Lucky Bag(カ),3,230102,カレンダー衣装
23-NEW,Happy New Year! 2023,3,230103,
23-JAN-I,2023.January,3,230104,リブチェンジワンピース
23-JAN-II,2023.January-II,3,230105,マルチカラーニット
31ST-5GEN,17分間,5,230106,
31ST,ここにはないもの,3,230107,
23-FEB-I,2023.February,3,230201,31st制服
23-VALEN,2023.Valentine,5,230202,
11BD-ANNV,11th Anniversary,5,230203,
11BD-T,11th Birthday Live,3,230204,
23-FEB-II,2023.February-II,3,230205,スタジャン
11BD-5GEN,11th Birthday Live -5th Members Live-,3,230206,
23-FEB-III,2023.February-III,3,230207,ワンカラーニット
23-FEB-IV,2023.February-IV,3,230208,ファーベスト
23-FEB-V,2023.February-V,3,230209,カラーロングカーディガン
GRAD-MANATSU,秋元真夏卒業コンサートTシャツ,3,230210,
31ST-UNDER,悪い成分,3,230301,
23-MAR-I,2023.March,3,230302,ビッグボーダー
23-MAR-II,2023.March-II,3,230303,ファーニット
23-MAR-III,2023.March-III,3,230304,ソートーントップス
23-APR-I,2023.April,3,230401,スペシャル衣装36
32ND-MV,人は夢を二度見る 選抜ver.,5,230402,
32ND-5GEN,心にもないこと,5,230403,
23-APR-II,2023.April-II,3,230404,トラディショナル
23-APR-III,2023.April-III,8,230405,紅白2022衣装
GRAD-ASUKA,齋藤飛鳥卒業コンサートTシャツ,3,230501,
23-MAY-I,2023.May,3,230502,スペシャル衣装37
23-MAY-II,2023.May-II,3,230503,フロントレースアップ
23-MAY-III,2023.May-III,3,230504,ビビットパーカー
23-MAY-V,2023.May-IV,3,230505,チュニック
23-JUN-I,2023.June,3,230601,11thBDライブ衣装
23-JUN-II,2023.June-II,3,230602,11thBDライブ期別衣装
23-JUN-III,2023.June-III,3,230603,チュール
23-JUL-I,2023.July,3,230701,真夏の全国ツアー2023 Tシャツ Aver.
23-JUL-II,2023.July-II,5,230702,浴衣
23-JUL-III,2023.July-III,3,230703,リボンモチーフ
23-HOKKAIDO,nogizaka SummerTour 2023 HOKKAIDO,3,230704,緑x白コーデ
32ND,人は夢を二度見る,3,230705,
32ND-UNDER,さざ波は戻らない,3,230706,
23-JUL-IV,2023.July-IV,3,230707,ピスチェ
23-OSAKA,nogizaka SummerTour 2023 OSAKA,3,230708,赤x白コーデ
23-JUL-V,2023.July-V,3,230709,制服風コーデ
23-HIROSHIMA,nogizaka SummerTour 2023 HIROSHIMA,3,230710,黄色x黒コーデ
23-JUL-VI,2023.July-VI,3,230711,ハワイアン
23-OKINAWA,nogizaka SummerTour 2023 OKINAWA,3,230712,エメラルドグリーンxブラウンコーデ
23-AUG-I,2023.August,3,230801,真夏の全国ツアー2023 Tシャツ B&Cver.
23-AUG-II,2023.August-II,3,230802,アメリカンポップ
23-AICHI,nogizaka SummerTour 2023 AICHI,3,230803,白x白コーデ
23-AUG-III,2023.August-III,3,230804,エスニック
23-MIYAGI,nogizaka SummerTour 2023 MIYAGI,3,230805,青x白コーデ
23-TOKYO-I,真夏の全国ツアー2023 東京ver.,3,230806,
23-SPECIAL,真夏の全国ツアー2023 Special,3,230807,
23-TOKYO-II,nogizaka SummerTour 2023 TOKYO,3,230808,紫コーデ
23-AUG-IV,2023.August-IV,3,230809,キャミワンピ
23-AUG-V,2023.August-V,8,230810,スペシャル衣装38
23-SEP-I,2023.September,3,230901,ベースボールシャツ2023
23-HALLO,2023.Halloween,5,230902,
33RD-MV,おひとりさま天国 選抜ver.,5,230903,
33RD-5GEN,考えないようにする,5,230904,
23-OCT-I,2023.October,3,231001,真夏の全国ツアー2023衣装1
23-OCT-II,2023.October-II,3,231002,ポイント花柄ワンピース
23-NOV-I,2023.November,3,231101,バスケコーデ
33RD,おひとりさま天国,3,231102,
33RD-UNDER,踏んでしまった,8,231103,
5GEN-SP-I,5期生スペシャル1,6,231104,
5GEN-SP-II,5期生スペシャル2,3,231105,
23-DEC-I,2023.December,3,231201,真夏の全国ツアー2023衣装2
34TH-MV,Monopoly 選抜ver.,5,231202,
34TH-5GEN,いつの日か、あの歌を…,5,231203,
23-XMAS,2023.Christmas,5,231204,
24-LUCKY-I,2024.Lucky Bag(冬),3,240101,冬コーデ
24-LUCKY-II,2024.Lucky Bag(カ),3,240102,カレンダー衣装
24-NEW,Happy New Year! 2024,3,240103,
24-JAN-I,2024.January,3,240104,ルーズソックス
34TH,Monopoly,3,240201,
24-VALEN,2024.Valentine,5,240202,
24-FEB-I,2024.February,3,240203,タータンチェック
24-FEB-II,2024.February-II,3,240204,MA-1×スカート
24-FEB-III,2024.February-III,3,240205,レザー×ニットワンピ
24-MAR-I,2024.March,3,240301,スペシャル衣装39
12BD-ANNV,12th Anniversary,5,240302,
12BD-T,12th Birthday Live,3,240303,
24-MAR-II,2024.March-II,3,240304,ショートコート
24-MAR-III,2024.March-III,3,240305,アニマルルームウェア
24-MAR-IV,2024.March-IV,3,240306,ラガーシャツ
24-MAR-V,2024.March-V,3,240307,メタリック
24-MAR-VI,2024.March-VI,3,240308,刺繍カーディガン
24-MAR-VII,2024.March-VII,3,240309,ネクタイ付きシャツ
24-MAR-VIII,2024.March-VIII,3,240310,34th制服
24-MAR-IX,2024.March-IX,3,240311,デニムジャケット
24-APR-I,2024.April,3,240401,紅白2023衣装
24-APR-II,2024.April-II,3,240402,白シャツ
35TH-MV,チャンスは平等 選抜ver.,5,240403,
35TH-UNDER,思い出が止まらなくなる,3,240404,
24-APR-III,2024.April-III,8,240405,スペシャル衣装40
GRAD-YAMA,山下美月卒業コンサートTシャツ,3,240501,
24-MAY-I,2024.May,3,240502,カーゴパンツ
24-MAY-II,2024.May-II,3,240503,レモンイエロー
35TH,チャンスは平等,3,240504,
24-MAY-III,2024.May-III,3,240505,バラモチーフ
24-MAY-IV,2024.May-IV,3,240506,マーメイドワンピ
24-JUN-I,2024.June,3,240601,スペシャル衣装41
24-JUN-II,2024.June-II,3,240602,35th制服
24-JUL-I,2024.July,3,240701,12thBDライブ衣装
24-JUL-II,2024.July-II,5,240702,浴衣
35TH-5GEN,「じゃあね」が切ない,5,240703,
24-OSAKA,真夏の全国ツアー2024 大阪ver.,3,240704,
24-JUL-III,2024.July-III,3,240705,オーバーオール
24-AUG-I,2024.August,3,240801,スペシャル衣装42
35TH-UNDER,車道側,3,240802,
36TH-MV,チートデイ 選抜ver.,5,240803,
36TH-5GEN,熱狂の捌け口,5,240804,
24-AICHI,真夏の全国ツアー2024 愛知ver.,3,240805,
24-AUG-II,2024.August-II,3,240806,ギンガムチェック
24-AUG-III,2024.August-III,8,240807,スペシャル衣装43
24-SEP-I,2024.September,3,240901,真夏の全国ツアー2024衣装1
24-TOKYO,真夏の全国ツアー2024 東京ver.,3,240902,
24-SPECIAL,真夏の全国ツアー2024 Special,3,240903,
24-SEP-II,2024.September-II,3,240904,リボンコーデ
24-SEP-III,2024.September-III,3,240905,フリルTシャツ
24-SEP-IV,2024.September-IV,3,240906,ポロニット
24-SEP-V,2024.September-V,3,240907,36th制服
24-HALLO,2024.Halloween,5,240908,
36TH,チートデイ,3,241001,
24-OCT-I,2024.October,3,241002,トラックジャケット
24-OCT-II,2024.October-II,3,241003,バルーンスカート
24-NOV-I,2024.November,3,241101,真夏の全国ツアー2024 衣装2
24-NOV-II,2024.November-II,3,241102,メガネコーデ
24-XMAS,2024.Christmas,5,241103,
24-DEC-I,2024.December,3,241201,真夏の全国ツアー2024 Tシャツ衣装3
24-THX-I,大感謝祭2024(ダ),3,241202,ダウンベスト
24-THX-II,大感謝祭2024(千),3,241203,千鳥格子
36TH-UNDER,落とし物,8,241204,
25-LUCKY-I,2025.Lucky Bag(パ),3,250101,パジャマ
25-LUCKY-II,2025.Lucky Bag(カ),3,250102,カレンダー衣装
25-NEW,Happy New Year! 2025,3,250103,
37TH-MV,歩道橋 選抜ver.,5,250104,
37TH-5GEN,相対性理論に異議を唱える,5,250105,
25-JAN-I,2025.January,3,250106,猫耳ニット帽
25-JAN-II,2025.January-II,3,250107,ソフトピンク
37TH,歩道橋,3,250201,
25-FEB-I,2025.February,3,250202,オフショルニット
25-VALEN,2025.Valentine,5,250203,
GRAD-YODA-I,与田祐希卒業コンサートTシャツ,3,250204,
GRAD-YODA-II,与田祐希卒業コンサート,3,250205,ごんぞうカチューシャ
25-FEB-II,2025.February-II,8,250206,37th制服
25-FEB-III,2025.February-III,3,250207,紅白2024衣装
25-FEB-IV,2025.February-IV,3,250208,スペシャル衣装44
SG-NATSUKASHI,懐かしさの先,3,250209,
25-MAR-I,2025.March,3,250301,スペシャル衣装45
25-MAR-II,2025.March-II,3,250302,ファー
25-MAR-III,2025.March-III,3,250303,ジップアップコーデ
37TH-UNDER,それまでの猶予,3,250401,
25-APR-I,2025.April,3,250402,カレッジ
38TH-MV,ネーブルオレンジ 選抜ver.,5,250403,
38TH,ネーブルオレンジ,3,250501,
25-MAY-I,2025.May,3,250502,ボヘミアン
25-MAY-II,2025.May-II,8,250503,スペシャル衣装46
13BD-ANNV,13th Anniversary,5,250504,
13BD-T,13th Birthday Live,3,250505,
25-MAY-III,2025.May-III,3,250506,レイヤードトップス
25-MAY-IV,2025.May-IV,3,250507,デニムワンピ
25-MAY-V,2025.May-V,3,250508,ビッグボウタイブラウス
38TH-UNDER,交感神経優位,3,250601,
25-JUN-I,2025.June,3,250602,38th制服
25-JUL-I,2025.July,3,250701,ベースボールシャツ2025
25-JUL-II,2025.July-II,5,250702,浴衣
25-HOKKAIDO,真夏の全国ツアー2025 北海道ver.,3,250703,
25-JUL-III,2025.July-III,3,250704,フリルミニスカ
25-SHIZUOKA,真夏の全国ツアー2025 静岡ver.,3,250705,
25-JUL-IV,2025.July-IV,3,250706,メッシュニット
25-OSAKA,真夏の全国ツアー2025 大阪ver.,3,250707,
25-JUL-V,2025.July-V,3,250708,ドット
25-JUL-VI,2025.July-VI,3,250709,真夏の全国ツアー2025 Tシャツ Bver.
25-AUG-I,2025.August,3,250801,13thBDライブ衣装1
39TH-MV,Same Numbers 選抜ver.,5,250802,
25-MIYAGI,真夏の全国ツアー2025 宮城ver.,3,250803,
25-AUG-II,2025.August-II,3,250804,スウェット
25-FUKUOKA,真夏の全国ツアー2025 福岡ver.,3,250805,
25-AUG-III,2025.August-III,3,250806,シャーリングワンピ
25-KAGAWA,真夏の全国ツアー2025 香川ver.,3,250807,
25-AUG-IV,2025.August-IV,3,250808,アシンメトリー
25-AUG-V,2025.August-V,3,250809,13thBDライブ衣装2
39TH,Same Numbers,3,250901,
25-TOKYO,真夏の全国ツアー2025 東京ver.,3,250902,
25-SPECIAL,真夏の全国ツアー2025 Special,3,250903,
25-SEP-I,2025.September,3,250904,サマージャケット
25-HALLO,2025.Halloween,5,250905,
25-SEP-II,2025.September-II,3,250906,肩あきトップス
25-SEP-III,2025.September-III,3,250907,スパンコール
25-OCT-I,2025.October,3,251001,39th制服
25-NOV-I,2025.November,3,251101,スペシャル衣装47
25-XMAS,2025.Christmas,5,251102,
25-NOV-II,2025.November-II,3,251103,スカーフ
GRAD-SHIORI-I,久保史緒里卒業コンサートTシャツ,3,251104,
GRAD-SHIORI-II,久保史緒里卒業コンサート,3,251105,襟付きコーデ
39TH-UNDER,不道徳な夏,3,251201,
